epoch,train_loss,test_loss,accuracy
1,4.48002974212627,4.340553976168298,3.0
2,4.284133326671922,4.177678361819808,4.89
3,4.140126626204957,4.054030621887013,6.75
4,4.043067128761955,3.975937229812525,8.17
5,3.9792440949803423,3.9145022820515236,8.9
6,3.9176709328770944,3.8543408387785503,10.18
7,3.860681228930383,3.8042503359970774,10.79
8,3.8112382279027757,3.758738510168282,11.54
9,3.770972295185489,3.723961207517393,11.92
10,3.729629283365996,3.694930498767051,12.66
11,3.692120873104886,3.660822039197205,13.29
12,3.653204846565071,3.6229634953152603,13.9
13,3.6140959317726855,3.583925391458402,14.73
14,3.569437577291523,3.540820879541385,15.37
15,3.5235853442145735,3.500477443075484,16.24
16,3.4712501377095957,3.461831264435106,17.19
17,3.4251489752088973,3.4262735631055894,17.97
18,3.3800743214614557,3.3931369249987755,18.87
19,3.3359368856605665,3.361746288408899,19.57
20,3.2973786180891342,3.3362043799868055,19.79
21,3.255287747248969,3.3054383423677676,20.94
22,3.2180191973591095,3.278926190297315,21.05
23,3.17896439169374,3.259829401210615,21.8
24,3.142753723027456,3.2376537565972394,21.85
25,3.1050782346969372,3.2325978066511216,22.13
26,3.067486070001217,3.2013324704139854,22.47
27,3.0246619696507366,3.183697124955001,23.36
28,2.9850729914272534,3.1729749706900043,23.45
29,2.9440296775544694,3.155959354084768,23.74
30,2.905836265715187,3.13227536268295,24.17
31,2.857831915626136,3.12532297668943,24.29
32,2.81994327224429,3.113343062674164,24.76
33,2.7741471661631105,3.1031379684521134,25.44
34,2.732196187424233,3.0916612527932332,25.16
35,2.683736011805132,3.0747363324377948,25.7
36,2.635352039581065,3.081073077620974,25.91
37,2.5886559463522927,3.0724901970784377,26.36
38,2.542252905076117,3.0851053963800905,26.09
39,2.48997142385034,3.079354779735492,26.31
40,2.44083063376834,3.0753558623562953,26.49
41,2.3879663146975094,3.087712133006685,26.97
42,2.3340638484186527,3.1043892817892087,26.7
43,2.2791649504085942,3.1250043826498044,26.92
44,2.2279187846366706,3.11960979328034,27.04
45,2.1703615415736537,3.1463205343598775,26.84
46,2.1098738792912126,3.165317837599736,26.95
47,2.051406742209364,3.2117430525980177,27.27
48,1.9887635704806395,3.228487402010875,27.09
49,1.93679168904224,3.2725798491459743,27.4
50,1.8698125358127877,3.307888510880197,26.91
51,1.813086133326411,3.3376979843066756,27.02
52,1.7463491341037214,3.395608674189088,26.9
53,1.6894895277364785,3.4181604400561874,26.98
54,1.6304556254840568,3.4717193120604106,27.12
55,1.5544434679133812,3.574396453845273,26.6
56,1.5014182871107555,3.6105893493457963,26.78
57,1.4295669864205753,3.6965501794389857,26.73
58,1.3704417747304873,3.7574915217745835,26.92
59,1.3082008877068834,3.8184920071036954,26.89
60,1.248754104232544,3.9334067721275767,26.65
61,1.1928826418831526,3.9774426548344315,27.24
62,1.1299054550240413,4.051715250987156,26.6
63,1.071966564563839,4.126620198511015,26.45
64,1.0214408391424457,4.2033212443066255,26.38
65,0.9673546520645356,4.295844087175503,26.88
66,0.9086474575045164,4.440220002156154,25.96
67,0.8580396359076585,4.505673988609557,26.49
68,0.8084651897935307,4.6574044394644964,26.52
69,0.7667914008926553,4.753175723324915,26.71
70,0.7123563910460533,4.839181540118661,26.48
71,0.6773094771920568,4.875853192274738,26.51
72,0.6395582607792466,4.98922375660793,26.52
73,0.5960143359801958,5.243075416346264,26.49
74,0.5601735062268384,5.2342969824554055,26.97
75,0.5350164596534446,5.360664853624478,26.79
76,0.4968995217548307,5.54403150157564,26.62
77,0.4659929159085464,5.5836783321040455,26.23
78,0.4439842143212743,5.670901091994753,26.26
79,0.41574781757715107,5.80084687737143,25.78
80,0.3869650769226082,5.905631478425044,26.35
81,0.3691965092707168,5.875439507186792,25.98
82,0.3484729548625629,6.098098117075149,26.34
83,0.3309827811082306,6.05997750713567,26.57
84,0.31468125614706816,6.3039865797492345,26.34
85,0.29938212427717953,6.155876861256399,26.26
86,0.27945493534683724,6.340240794382278,26.29
87,0.26718410401774184,6.508371787466062,26.55
88,0.25982970834883584,6.47199736734864,26.53
89,0.24026789740109078,6.619895704232963,26.46
90,0.22889074223959233,6.639514883612372,26.79
91,0.22097678219570832,6.7095627116549545,26.45
92,0.20568762266117593,6.908793965722345,26.24
93,0.21071065680774123,6.756120347672967,26.76
94,0.1980396879174749,7.038283348083496,26.35
95,0.1887541788075205,6.9032984599945655,26.53
96,0.1681618489124967,7.125213990545577,26.94
97,0.178730146132905,7.07787758225848,26.58
98,0.17620616531013833,6.994916475502548,26.87
99,0.16134708341868484,7.111856900962295,26.57
100,0.15438898537984436,7.223834958046106,26.82
