epoch,train_loss,test_loss,accuracy
1,4.517583800093902,4.312635087663201,2.84
2,4.282568205957827,4.234913716650313,3.95
3,4.233781812441014,4.191101891219995,4.63
4,4.171774588277578,4.098956922057328,6.95
5,4.088379551687509,4.031604507166868,7.62
6,4.025071472158213,3.970273757436473,8.62
7,3.981450759236465,3.9322577342865572,8.97
8,3.948111165210109,3.900608888856924,9.48
9,3.9178542993257723,3.872835640694685,10.1
10,3.890525336765572,3.845663908940212,10.23
11,3.8637013228043267,3.821241715911088,10.96
12,3.832104068278047,3.786470407133649,11.65
13,3.7979326766470205,3.757177387832836,12.11
14,3.7516258903171704,3.697118300541191,13.78
15,3.703775643692602,3.6579914988985487,14.19
16,3.656024742919161,3.6205640218819783,15.07
17,3.615687265420509,3.5696772314180993,16.04
18,3.5747151969338926,3.5318521602897888,16.55
19,3.53197331227305,3.4938693714749283,17.38
20,3.493545283441958,3.472496915015445,17.72
21,3.4570818182147676,3.4407865378507383,18.53
22,3.4269877031940936,3.4144205272577373,19.05
23,3.397117631514664,3.3856955349065694,19.73
24,3.3682513605908055,3.37408742479458,19.88
25,3.3429333154502734,3.3503312684927775,20.35
26,3.316189633610913,3.3297366382210116,20.43
27,3.29388428130723,3.307649106736396,20.98
28,3.2681080532805695,3.29706353898261,21.16
29,3.245948008564122,3.2727108229497435,21.87
30,3.222062267610789,3.257802349746607,21.97
31,3.1971571597906636,3.2507011191860125,22.1
32,3.1820168550057177,3.2325044088302906,22.53
33,3.1578131289128453,3.2228513690316754,22.74
34,3.1322006569494065,3.2041081288817583,23.16
35,3.111408679991427,3.1943689015260928,23.39
36,3.088584834657362,3.187538330722007,23.31
37,3.064897151554332,3.167353531357589,23.6
38,3.0437848165516965,3.155662980049279,24.09
39,3.026218976511065,3.148873102892736,24.1
40,2.998681743736462,3.132538970109004,24.64
41,2.980524354273706,3.1150205940197986,24.66
42,2.953035975356236,3.1082431905588526,24.95
43,2.930124716380673,3.0965874878464232,25.31
44,2.9090024571284614,3.085711716087001,25.37
45,2.8832165368682587,3.0742858716636707,25.66
46,2.8600284336777904,3.0624545653154898,26.05
47,2.8381761324680066,3.057699994676432,26.13
48,2.818242493187985,3.0450305255355348,26.62
49,2.795061384625447,3.0366656856172405,26.58
50,2.770563235063382,3.029094428773139,26.89
51,2.752825953161625,3.0219710465449436,27.13
52,2.725014588717,3.0169453165333744,27.06
53,2.7059840363309817,3.0133706126243447,27.46
54,2.6812773369767173,3.0131744989164315,27.44
55,2.6616997721859867,3.0064562293374615,27.46
56,2.6398190500791117,2.9951614027570006,27.85
57,2.6179065128116656,2.9816141887834875,28.18
58,2.593157711236373,2.9905455203572657,28.24
59,2.5740362634439298,2.980458824497879,28.25
60,2.5448262475030807,2.985374168225914,28.41
61,2.525638740690773,2.991571362610835,28.39
62,2.503155928591023,2.9885431945703593,28.76
63,2.4799542885912045,2.993161851433432,28.81
64,2.4611286729802866,2.981312294674527,28.77
65,2.4400990135834344,2.9851494503628677,28.71
66,2.4137927949276117,3.003665078217816,28.74
67,2.394494808848252,2.983588706156251,29.16
68,2.37079642129981,2.9760757008935235,29.31
69,2.348383010653279,2.9947294596653835,29.31
70,2.3202617837644905,3.0108488866478016,29.39
71,2.303319804656231,3.014961581321279,29.44
72,2.278844060647823,3.009837320655774,29.61
73,2.2539246742377808,3.00528879226393,29.8
74,2.2260728588189616,3.016199499178844,29.55
75,2.211514481498152,3.025309565720285,29.4
76,2.1880237856484435,3.032849670215777,29.79
77,2.1662586366429046,3.034752885247492,29.91
78,2.138183061424119,3.0557423199817633,29.54
79,2.1151656328564714,3.0587167086874603,29.39
80,2.0855648638037465,3.0705825371347415,29.74
81,2.06745739818534,3.0849857558110716,29.53
82,2.0398697208260637,3.077520490451983,30.05
83,2.017037525811159,3.1057654702739352,30.35
84,1.9916303688302979,3.1354798799867085,29.46
85,1.9622536082097026,3.137570895966451,29.78
86,1.9409205162006875,3.141263750708027,29.86
87,1.9118814052218367,3.1663635232645992,30.18
88,1.8941697889886548,3.1913440698271343,29.68
89,1.867266756799215,3.204534264886455,29.52
90,1.838183559267722,3.210227582105406,29.86
91,1.8168183327330958,3.239218614663288,29.82
92,1.7921886655985546,3.236005892419511,29.88
93,1.7632147845099955,3.2908654349624733,29.31
94,1.7393758729900546,3.2906902823478554,29.58
95,1.705693276946807,3.3111962664658856,29.38
96,1.6785568073582466,3.3212550354611343,29.81
97,1.6521459491661443,3.3735513656761995,29.28
98,1.6354358479799822,3.3923584200014734,29.2
99,1.6030478386775306,3.412795367514252,29.71
100,1.5730707959445847,3.4425921470496306,29.39
