network,dataset,activation,param,mean_train_loss,std_train_loss,mean_test_loss,std_test_loss,mean_accuracy,std_accuracy
VGG16,CIFAR10,gelu_a,0.0,0.8716441125884489,0.03847609890120403,0.9765780546356412,0.029497863197011052,66.63,0.6521247324451543
VGG16,CIFAR10,gelu_a,0.25,0.7023983341043869,0.16021644801198523,1.3317070684488665,0.2040710717412817,59.046666666666674,2.2566395862481494
VGG16,CIFAR10,gelu_a,0.5,0.09585287471100186,0.0357984628920236,3.4788505667840344,0.3583411204347735,54.99,0.9080748867797185
VGG16,CIFAR10,gelu_a,1.0,0.1738561249564966,0.06759013041992275,2.7049803886317396,0.47172139377400013,60.02333333333333,1.2172464372052552
VGG16,CIFAR10,gelu_a,2.0,0.11369538360551927,0.03567675427831588,2.560984365056781,0.25694865885352264,63.72666666666667,1.4740948258356936
VGG16,CIFAR10,gelu_a,5.0,0.09257769627879292,0.015897686690606098,1.944805717860564,0.08281019464527209,68.74,0.6533503399147076
VGG16,CIFAR10,gelu_a,1000.0,0.07811824478064765,0.008771910127371975,1.856448020600969,0.08346460554438663,68.16666666666667,0.669593574906119
VGG16,CIFAR10,silu_a,0.0,0.8998868524367648,0.01725774814952546,0.9917741430286641,0.016797455097909413,65.52,0.220907220343748
VGG16,CIFAR10,silu_a,0.25,0.9397183682988672,0.028610848188455378,1.099342935315616,0.019761510786478115,61.60333333333333,0.3503648891592252
VGG16,CIFAR10,silu_a,0.5,0.9144701666844166,0.027814162586310746,1.1011288292215637,0.02701550422186296,61.416666666666664,0.9508358895671155
VGG16,CIFAR10,silu_a,1.0,0.26660687164304253,0.06389626266891267,2.263331109538453,0.2673004934755407,57.673333333333325,0.5555377774933244
VGG16,CIFAR10,silu_a,2.0,0.19763927786150123,0.10128294600322686,2.4327526475973187,0.4684348549654497,61.553333333333335,0.9137590248832299
VGG16,CIFAR10,silu_a,5.0,0.11506275872725023,0.04640414190296674,2.286067224415751,0.3046400672922771,65.53666666666666,1.1116754122594545
VGG16,CIFAR10,silu_a,1000.0,0.09570675881608101,0.012893109475824019,1.6794714128515522,0.09813775720901241,69.51,0.3965686153324133
VGG16,CIFAR10,zailu,0.0,0.8859736964601996,0.0176443675179799,0.9869731973817141,0.014059468116326608,65.84333333333333,0.1960158723731917
VGG16,CIFAR10,zailu,0.25,0.7898472442549717,0.07281776591539395,1.1500454423407336,0.10821167215852044,61.34333333333334,2.9358057761976637
VGG16,CIFAR10,zailu,0.5,0.6512396270266313,0.28493441917707124,1.5143198324869642,0.6626622936645118,61.050000000000004,3.4697934616727073
VGG16,CIFAR10,zailu,1.0,0.7509417722863919,0.14013235364286564,1.1280799531126733,0.13289236703319302,63.193333333333335,1.2119497606015814
VGG16,CIFAR10,zailu,2.0,0.6414301674200088,0.18216991258147092,1.2151834297838229,0.3534202079020273,64.01333333333334,3.740288164774946
VGG16,CIFAR10,zailu,5.0,0.5428226320944785,0.0606674060629458,0.9670354016457393,0.04609752079338736,69.33999999999999,0.5855481762132548
VGG16,CIFAR10,zailu,1000.0,0.07828514929760591,0.01589131105499816,1.8445841499827724,0.14497296103627522,68.44,1.399738070735618
